modality,seq,paper_rpe_m,new_rpe_m,diff_rpe_m,paper_ate_m,new_ate_m,diff_ate_m
color,0,0.0262,0.0259423049763383,-0.000257695023661696,4.174,4.54306406611506,0.369064066115061
color,2,0.0257,0.0253101203276489,-0.000389879672351129,5.756,3.04383435198162,-2.71216564801838
color,3,0.0148,0.0148490337921961,4.90337921961095e-05,0.551,0.438844338089619,-0.112155661910381
color,4,0.0353,0.0394191772738771,0.00411917727387707,2.328,2.71665084515705,0.388650845157046
color,5,0.0178,0.0180715763734046,0.000271576373404574,3.332,3.34888648966159,0.0168864896615921
color,6,0.0187,0.0196463680730017,0.000946368073001705,2.4,2.38802580942948,-0.0119741905705175
color,7,0.0175,0.0167311253385431,-0.000768874661456947,1.593,1.74299423457459,0.14999423457459
color,8,0.0397,0.0397481264422439,4.81264422438551e-05,5.866,5.39206413546391,-0.473935864536092
color,9,0.0234,0.023766751887163,0.000366751887162953,5.245,4.61740840610025,-0.627591593899749
color,10,0.0196,0.0197122342321258,0.000112234232125814,3.088,3.0593512728556,-0.0286487271444007
gray,0,0.026,0.0257962917397903,-0.000203708260209674,4.514,4.60874850160734,0.0947485016073442
gray,2,0.0257,0.0251844983315734,-0.00051550166842658,3.9,3.9268259499782,0.0268259499781993
gray,3,0.0158,0.0156403632765083,-0.000159636723491681,1.03,1.01898037732739,-0.0110196226726083
gray,4,0.0197,0.0215857913505351,0.00188579135053513,0.726,1.04271427517495,0.31671427517495
gray,5,0.0124,0.0122987048809374,-0.000101295119062551,2.403,2.26011693239607,-0.142883067603931
gray,6,0.0138,0.0131812042993865,-0.000618795700613531,1.859,1.77839947243818,-0.0806005275618196
gray,7,0.0123,0.0119045695722584,-0.000395430427741632,1.281,1.39850571247075,0.117505712470749
gray,8,0.0392,0.0375131020120755,-0.00168689798792451,3.43,3.67195362400591,0.241953624005906
gray,9,0.0181,0.0180504127835184,-4.95872164816037e-05,2.169,2.1366088342819,-0.0323911657180971
gray,10,0.0172,0.0171147155721027,-8.52844278972711e-05,0.638,0.651715131072508,0.0137151310725082
